X,Y,OBJECTID,HA_ID,Health_Authority,Community_Collection_Center_Nam,Address,Specific_Location,City_Town,Monday_Hours,Tuesday_Hours,Wednesday_Hours,Thursday_hours,Friday_Hours,Saturday_Hours,Sunday_Hours,Days,Special_Criteria___Consideratio,Phone,Website,GlobalID,Status,Public_Access,Referral_Required,EditDate,Object,AcceptChildren,Accepts_Children,Drive_Through_Testing
-119.268729754,50.7058050570001,15,1 IHA,Interior,Salmon Arm Public Health Centre,"851 16th Street N, Salmon Arm",Park at the far end of the parking lot in the designated stalls (look for the orange cones). Stay in your car. The nurse will call or meet you at your car.,Salmon Arm,By appointment,By appointment,By appointment,By appointment,By appointment,,,"Mon - Fri. Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","The public, health care workers and non-Interior Health staff can book an appointment by calling: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{050EB7F4-601D-44E7-A10F-69C8D60FA1B9},Open,Yes,Yes,2022/06/02 16:03:37+00,1,All ages,Yes,Yes
-122.143742341,52.137387222,16,1 IHA,Interior,Cariboo Memorial Hospital,"517 6th Avenue N, Williams Lake",Weekdays: Park in Parking Lot B in designated COVID-19 testing parking spot. Stay in your vehicle until a nurse directs you.  Weekend & Stat Holidays: Please report to the Emergency Department,Williams Lake,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","The public, health care workers and non-Interior Health staff can book an appointment by calling: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{B8968C43-35D7-44C6-830C-F3A38C2F518B},Open,Yes,Yes,2022/06/01 20:53:05+00,1,All ages,Yes,No
-117.284673903,49.495031011,17,1 IHA,Interior,Kootenay Lake Hospital,"3 View Street, Nelson",Park in designated stall. Enter plastic awning area and follow signage.,Nelson,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","The public, health care workers and non-Interior Health staff can book an appointment by calling: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{0F44E919-8993-464A-BB06-AE374795DB08},Close,Yes,Yes,2022/06/02 15:39:28+00,1,All ages,Yes,No
-117.703712438,49.0979787740001,18,1 IHA,Interior,Kiro Wellness Centre,"1500 Columbia Avenue, Trail","Follow signage and park in designated driveway to the right of main entrance. For PCR test appts, remain in vehicle and nurse will come out at appointment time.  For rapid tests or walk-in PCR, ring doorbell and return to vehicle.",Trail,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","The public, health care workers and non-Interior Health staff can book an appointment by calling: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{94FF4953-9940-4A13-AFF1-00D547E53EB8},Open,Yes,Yes,2022/06/01 21:17:59+00,1,All ages,Yes,Yes
-115.750482124,49.511008573,19,1 IHA,Interior,Cranbrook Health Unit Centre (Rocky Mountain Lodge),"20 23rd Avenue S, Cranbrook",Enter off of 24th Ave. Drive past helicopter pad to the back of the health unit building. Park in a designated spot and call posted number on arrival.,Cranbrook,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see Interior Health's COVID-19 testing page for more information.","The public, health care workers and non-Interior Health staff can book an appointment by calling: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://www.interiorhealth.ca/health-and-wellness/disease-outbreaks/covid-19/testing-information,{CB670AC1-F639-4CAA-B6EF-E4040CC00E17},Open,Yes,Yes,2022/04/26 20:53:27+00,1,All ages,Yes,No
-122.696606939,58.8078185780001,20,5 NHA,Northern,Fort Nelson Health Unit,"5217 Airport Dr, Fort Nelson",,Fort Nelson,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-774-7096",https://northernhealthcovid.secureform.ca/index.php,{747FE73B-C415-4228-9B54-25787BFF34AB},Open,Yes,Yes,2022/01/13 18:33:06+00,1,All ages,Yes,No
-120.850384819,56.2548284920001,21,5 NHA,Northern,Fort St. John Health Unit,"10115 110 Ave, Fort St. John",,Fort St. John,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-263-6086",https://northernhealthcovid.secureform.ca/index.php,{C6606229-7E0E-439F-A1A9-047CFEE63722},Open,Yes,Yes,2022/01/13 18:33:10+00,1,All ages,Yes,No
-121.915733089,56.02637337,22,5 NHA,Northern,Hudson's Hope Health Centre,"10309 Kyllo St, Hudson's Hope",,Hudson's Hope,See Fort St John,See Fort St John,See Fort St John,See Fort St John,See Fort St John,See Fort St John,See Fort St John,7 days a week,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-263-6086 ",https://northernhealthcovid.secureform.ca/index.php,{7B893B37-D9EA-41C7-ABF6-6A5039740B00},Open,Yes,Yes,2022/03/31 21:29:46+00,1,All ages,Yes,No
-120.234850846,55.7505179870001,23,5 NHA,Northern,Dawson Creek Health Unit,"Room157-1001 110th Ave, Dawson Creek",,Dawson Creek,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-719-6513",https://northernhealthcovid.secureform.ca/index.php,{C289B8E4-C620-412D-BAC4-5A2A554ED0CA},Open,Yes,Yes,2022/01/13 18:33:16+00,1,All ages,Yes,No
-121.000094973,55.1245377400001,24,5 NHA,Northern,"Tumbler Ridge Community Health Unit
","220 Front Street, Tumbler Ridge",,Tumbler Ridge,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-242-3889",https://northernhealthcovid.secureform.ca/index.php,{29AE8E79-B8AA-4026-8B58-D3173EBA4875},Open,Yes,Yes,2022/01/13 18:33:19+00,1,All ages,Yes,No
-121.630583485,55.6956421040001,25,5 NHA,Northern,Chetwynd Primary Care Clinic,"5125 50th Street SW, Chetwynd",Side entrance staff door,Chetwynd,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-788-9877",https://northernhealthcovid.secureform.ca/index.php,{5380C2C7-1659-4B44-94FB-39202D14A9F7},Open,Yes,Yes,2022/01/13 18:33:22+00,1,All ages,Yes,No
-125.759191699,54.2356993000001,26,5 NHA,Northern,Lakes District Health Centre ,"744 Center Street, Burns Lake ",Parking lot in front of Emergency Department,Burns Lake,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-692-2451",https://northernhealthcovid.secureform.ca/index.php,{3DAC6B85-32C6-4F50-9D0B-4DAB1D1D3556},Open,Yes,Yes,2022/01/13 18:33:24+00,1,All ages,Yes,No
-124.850315254,54.053522194,27,5 NHA,Northern,Fraser Lake Community Health Centre,"130 Chowsunket Rd, Fraser Lake",,Fraser Lake,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-699-6987",https://northernhealthcovid.secureform.ca/index.php,{E98BEB1B-B524-4807-A485-0455F7082DC4},Open,Yes,Yes,2022/01/13 18:33:29+00,1,All ages,Yes,Yes
-124.010948251,54.0285350940001,28,5 NHA,Northern,"St. John Hospital
","3255 Hospital Road, Vanderhoof",,Vanderhoof,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-567-4082",https://northernhealthcovid.secureform.ca/index.php,{737B475A-2F25-435F-B400-45BCEF18EAA4},Open,Yes,Yes,2022/01/13 18:33:32+00,1,All ages,Yes,Yes
-124.249143657,54.442229927,29,5 NHA,Northern,Fort St. James Health Centre,"111-250 Douglas Ave, Fort St. James",,Fort St. James,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-996-2216",https://northernhealthcovid.secureform.ca/index.php,{4843E4EC-8B37-4BF1-9B9A-87B4745E81A0},Open,Yes,Yes,2022/01/13 18:33:35+00,1,All ages,Yes,Yes
-122.497544321,52.980795576,30,5 NHA,Northern,Quesnel COVID-19 Test Collection Centre ,"511 Reid Street, Quesnel",Located at the Eileen Ramsay Building,Quesnel,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-991-7577",https://northernhealthcovid.secureform.ca/index.php,{AFEFCC0F-C186-4096-B1EC-6F461EB562CA},Open,Yes,Yes,2022/01/13 18:33:38+00,1,All ages,Yes,No
-120.161107393,53.300964682,31,5 NHA,Northern,McBride Hospital,"1136 5th Ave, McBride",,McBride,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-569-3369",https://northernhealthcovid.secureform.ca/index.php,{FB8DAF52-9B09-45C3-A581-9901D094B2D6},Open,Yes,Yes,2022/01/13 18:33:41+00,1,All ages,Yes,Yes
-119.27383989,52.831825759,32,5 NHA,Northern,Valemount Health Centre,"1445 5th Ave, Valemount",,Valemount,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-566-4319",https://northernhealthcovid.secureform.ca/index.php,{259C796A-19FF-44A8-B2AB-E076ECC2BD57},Open,Yes,Yes,2022/01/13 18:33:45+00,1,All ages,Yes,Yes
-123.100618559,55.337445867,33,5 NHA,Northern,Mackenzie Community Health Services,"45 Centennial Dr, Mackenzie",,Mackenzie,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-997-3253",https://northernhealthcovid.secureform.ca/index.php,{F38D20B3-6B2C-4662-AB70-044555664DDD},Open,Yes,Yes,2022/01/13 18:33:49+00,1,All ages,Yes,No
-122.759311072,53.9108410310001,34,5 NHA,Northern,Prince George COVID-19 Collection Centre,"175-1600 15th Avenue, Prince George",Near the Cineplex Theatre,Prince George,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,7 days a week,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-645-6951",https://northernhealthcovid.secureform.ca/index.php,{6BFB0AE6-2B82-4E25-B202-A78850C07756},Open,Yes,Yes,2022/03/31 21:23:24+00,1,All ages,Yes,No
-132.070479627,53.2548809150001,35,5 NHA,Northern,"Haida Gwaii Hospital and Health Centre
","Xaayda Gwaay Ngaaysdll Naay, 3209 Oceanview Drive, Village of Queen Charlotte",Located in emergency room 2-912 DECON/Treatment Room 3209,Queen Charlotte,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,7 days a week,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-559-8037",https://northernhealthcovid.secureform.ca/index.php,{02EACDEC-9B28-4AA1-BB2A-59A809C6CBCB},Open,Yes,Yes,2022/03/31 21:23:40+00,1,All ages,Yes,Yes
-132.157304784,54.020409521,36,5 NHA,Northern,Northern Haida Gwaii Hospital and Health Centre - Emergency Dept,"2520 Harrison Ave, Village of Masset",Emergency Department,Village of Masset,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,7 days a week,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-626-5279",https://northernhealthcovid.secureform.ca/index.php,{E4D2094D-D915-4020-91CD-123C6407B927},Open,Yes,Yes,2022/03/31 21:24:46+00,1,All ages,Yes,Yes
-130.324135476,54.313570043,37,5 NHA,Northern,Prince Rupert COVID-19 Test Collection Centre,"300 3rd Avenue West, Prince Rupert",Located at the Prince Rupert Health Unit,Prince Rupert,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-622-6521",https://northernhealthcovid.secureform.ca/index.php,{1019F376-DD53-464B-A926-83B613E1FAE7},Open,Yes,Yes,2022/01/13 18:34:04+00,1,All ages,Yes,Yes
-128.647165684,54.0504838260001,38,5 NHA,Northern,Kitimat General Hospital - Emergency Department,"920 Lahakas Blvd. S, Kitimat ",Outside of the Hospital Emergency Department,Kitimat ,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-632-3198",https://northernhealthcovid.secureform.ca/index.php,{BB88BC55-74F1-415E-8407-8AE299A7A3F2},Open,Yes,Yes,2022/01/13 18:34:06+00,1,All ages,Yes,Yes
-128.596175171,54.5104283360001,39,5 NHA,Northern,Mills Memorial Hospital ,"4720 Haugland Avenue, Terrace ",Follow signs for drive through,Terrace ,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,7 Days,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-638-4064",https://northernhealthcovid.secureform.ca/index.php,{86738BFC-3036-4CF8-9646-23F349C66FFC},Close,Yes,Yes,2022/01/13 18:34:09+00,1,All ages,Yes,
